"business_name","telephone","business_page","business_address"
"Maga Engineering (Pvt) Ltd","0112808835, 0112808836, 0112808837, 0112808838, 0112808839, 0112808840, 0112808841, 0112808842, 0112808843, 0112808844","https://rainbowpages.lk/other/concrete-ready-mixed/maga-engineering-pvt-ltd/","200   Nawala Rd Narahenpita Colombo 05"
"Cool King Ref Engineers & Suppliers","0112334721, 0115732685, 0722251029","https://rainbowpages.lk/other/air-compressors/cool-king-ref-engineers-and-suppliers/","No 211 Union Place Colombo 02"
"J N Interiors (Pvt) Ltd","0114621029, 0777551775","https://rainbowpages.lk/constructions/aluminium-fabricators/j-n-interiors-pvt-ltd/","No 129   Jayantha Weerasekara Mw Colombo 10"
"Metropolitan Communications Ltd","0112437797, 0114700200, 0114700300, 0112437624, 0112437626","https://rainbowpages.lk/office/cctv/metropolitan-communications-ltd/","85 Braybrooke Place Colombo 02"
"Rich Blinds (Pvt) Ltd","0114541262","https://rainbowpages.lk/interior/interior-decorators-designers/rich-blinds-pvt-ltd/","521/12   Thimbirigasyaya Rd Colombo 05"
"Willpower Group (Pvt) Ltd","0114613350","https://rainbowpages.lk/constructions/adhesives-glues/willpower-group-pvt-ltd/","B9-SP  YMBA Building 70 D S Senanayaka Mw Colombo 08"
"Sherry Bakery Equipment Suppliers (Pvt) Ltd","0112789782, 0115516886, 0115516887","https://rainbowpages.lk/industrial/bakery-equipment/sherry-bakery-equipment-suppliers-pvt-ltd/","No 735/B  Colombo Rd Thalangama North Malabe"
"Kent Trophies & Awards (Pvt) Ltd","0112448844, 0112448845, 0112448846, 0112448847","https://rainbowpages.lk/industrial/engravers-trophies-shields-plates-etc/kent-trophies-and-awards-pvt-ltd/","192 Sir James Peiris Mw Colombo 02"
"Industrial Multiclean Systems","0777277273, 0112698373","https://rainbowpages.lk/other/carpet-rug-cleaners/industrial-multiclean-systems/","912   Maradana Rd Colombo 08"
"Tudawe Brothers (Pvt) Ltd","0112368451, 0112368494, 0114356200","https://rainbowpages.lk/other/concrete-ready-mixed/tudawe-brothers-pvt-ltd/","505/2   Elvitigala Mw Colombo 05"
"Arpico Interiors (Pvt) Ltd","0112699625","https://rainbowpages.lk/constructions/flooring-materials/arpico-interiors-pvt-ltd/","No 69   Hyde Park Corner Colombo 02"
"Critco Lanka (Pvt) Ltd","0112334081","https://rainbowpages.lk/home/balloon-decorations/critco-pvt-ltd/","No 13 1/1 1st Floor China Street Colombo 11"
"Gilbert & Sons","0114721500","https://rainbowpages.lk/office/cctv/gilbert-and-sons/","141   D R Wijewardane Mw Colombo 10"
"Schokman & Samerawickreme","0112671467, 0112671468, 0112671469","https://rainbowpages.lk/home/antiques-dealers/schokman-and-samerawickreme/","6A Fairfield Gardens   Colombo 08"
"Datamation Systems (Pvt) Ltd","0112501202","https://rainbowpages.lk/office/accounting-software/datamation-systems-pvt-ltd/","15 Shrubbery Gardens Colombo 04"
